,distance,HOH_E,left_side_E
0,0.8,-74.88275524704441,-82.66677653911623
1,0.8333333333333334,-74.92876896914508,-82.7127902612169
2,0.8666666666666667,-74.96301123639937,-82.74703252847118
3,0.9,-74.98765544770434,-82.77167673977615
4,0.9333333333333333,-75.00445251388993,-82.78847380596174
5,0.9666666666666668,-75.01482679385698,-82.7988480859288
6,1.0,-75.01994928010112,-82.80397057217293
7,1.0333333333333334,-75.02079241605958,-82.80481370813139
8,1.0666666666666669,-75.01817060673673,-82.80219189880854
9,1.1,-75.01276991020089,-82.7967912022727
